stn;Day;T_Av;T_min;T_max;DD;Cum_DD;rain;sun
76;15.08.2022;19.9;14.1;25.9;20;;0;347
76;16.08.2022;22.7;14.1;30.8;22.45;;0.2;728
76;17.08.2022;20.7;16.6;27.7;22.15;;11.6;432
76;18.08.2022;19.7;15.5;23.5;19.5;;13.6;311
76;19.08.2022;18.3;16.3;20.9;18.6;;11.5;6
76;20.08.2022;19.1;16.5;24;20.25;;2.5;187
76;21.08.2022;20.5;13.9;26.3;20.1;;0;629
76;22.08.2022;21.8;14.9;28.3;21.6;21.6;0;642
76;23.08.2022;22.6;14.9;28.9;21.9;43.5;0;752
76;24.08.2022;22.1;14.9;27.3;21.1;64.6;0;767
76;25.08.2022;23;15.2;30;22.6;87.2;0;736
76;26.08.2022;22;18.2;25.7;21.95;109.15;0;130
76;27.08.2022;21.4;16.5;26.4;21.45;130.6;0;514
76;28.08.2022;20.7;15.7;24.6;20.15;150.75;0;323
76;29.08.2022;21.7;15.4;28.5;21.95;172.7;0;721
76;30.08.2022;20.3;16.6;26.3;21.45;194.15;2.9;194
76;31.08.2022;20;15.4;25.6;20.5;214.65;0;558
76;01.09.2022;19.1;14.2;23.2;18.7;233.35;0;491
76;02.09.2022;18.3;13.1;22.8;17.95;251.3;1.8;354
76;03.09.2022;18.1;15.4;23;19.2;270.5;23.6;236
76;04.09.2022;19.8;14.2;25.1;19.65;290.15;0;718
76;05.09.2022;21.3;15.7;26.6;21.15;311.3;0;601
76;06.09.2022;20.4;17.1;24.4;20.75;332.05;3.3;252
76;07.09.2022;19.7;15.9;24.8;20.35;352.4;22.4;251
76;08.09.2022;18.8;13.7;23.6;18.65;371.05;9.7;599
76;09.09.2022;17;13.3;21.6;17.45;388.5;3.3;378
76;10.09.2022;17.1;13.7;21.4;17.55;406.05;0;302
76;11.09.2022;17;10.8;22.2;16.5;422.55;0;711
76;12.09.2022;17.3;11.6;23.5;17.55;440.1;0;720
76;13.09.2022;19.8;13.8;24.5;19.15;459.25;1.9;341
76;14.09.2022;20.7;16.2;25.9;21.05;480.3;11.4;245
76;15.09.2022;17;13.7;21.4;17.55;497.85;6.8;29
76;16.09.2022;15.9;12.3;20.4;16.35;514.2;0.6;220
76;17.09.2022;11.7;7.7;14.9;11.3;525.5;0;340
76;18.09.2022;12.2;6.2;17.5;11.85;537.35;0;694
76;19.09.2022;13.1;7.6;17.4;12.5;549.85;0;643
76;20.09.2022;13.6;8.9;17.6;13.25;563.1;0;690
76;21.09.2022;13.3;9.8;17.7;13.75;576.85;0;682
76;22.09.2022;12;6.3;17.8;12.05;588.9;0;676
76;23.09.2022;14.9;7.7;21.1;14.4;603.3;0.1;402
76;24.09.2022;14.4;12.9;17.8;15.35;618.65;23.2;103
76;25.09.2022;12.6;10.4;15.2;12.8;631.45;13.5;55
76;26.09.2022;12.1;9.7;15.7;12.7;644.15;5.5;111
76;27.09.2022;10.4;8.6;12.9;10.75;654.9;5.6;66
76;28.09.2022;11.6;9.1;14.1;11.6;666.5;22.8;2
76;29.09.2022;10.7;6.6;12.9;9.75;676.25;4.2;22
76;30.09.2022;10.5;5.9;14.8;10.35;686.6;0;201
76;01.10.2022;10.7;7;13.6;10.3;696.9;24.5;0
76;02.10.2022;16.5;13.7;21.1;17.4;714.3;3;403
76;03.10.2022;14.6;10.6;18;14.3;728.6;0;362
76;04.10.2022;14.2;10.5;19;14.75;743.35;0;620
76;05.10.2022;15.4;8.4;23.4;15.9;759.25;0;642
76;06.10.2022;15.7;10.9;21;15.95;775.2;0;493
76;07.10.2022;15;10.9;20.5;15.7;790.9;0;371
76;08.10.2022;14.5;12.8;16.9;14.85;805.75;7.1;0
76;09.10.2022;13.3;11.3;15;13.15;818.9;0;28
76;10.10.2022;14.7;11.8;19.3;15.55;834.45;0.1;421
76;11.10.2022;14.6;10.3;18.5;14.4;848.85;0.3;390
76;12.10.2022;14.6;10.7;18.2;14.45;863.3;0.1;197
76;13.10.2022;14.5;12.1;17.6;14.85;878.15;0;31
76;14.10.2022;14.6;13;16.7;14.85;893;4.2;0
76;15.10.2022;16.3;13.6;21.7;17.65;910.65;0;295
76;16.10.2022;17.2;12.5;23.7;18.1;928.75;0;482
76;17.10.2022;15.5;10.9;20.4;15.65;944.4;0;560
76;18.10.2022;15.7;12.1;19.8;15.95;960.35;0;545
76;19.10.2022;13.5;10.4;17.4;13.9;974.25;0;274
76;20.10.2022;14.2;11.4;17.4;14.4;988.65;0.8;11
76;21.10.2022;14.7;13.6;18;15.8;1004.45;17.7;2
76;22.10.2022;14.7;11.4;18.5;14.95;1019.4;1.3;523
76;23.10.2022;13.4;9.6;17.6;13.6;1033;3.3;9
76;24.10.2022;13.2;10.4;15.8;13.1;1046.1;21.4;8
76;25.10.2022;12;8.1;15.1;11.6;1057.7;0.1;125
76;26.10.2022;14.4;11.5;18.6;15.05;1072.75;1.3;505
76;27.10.2022;13.5;10;17.9;13.95;1086.7;0;440
76;28.10.2022;14.2;10.6;18.7;14.65;1101.35;0;392
76;29.10.2022;13.7;10.4;18.3;14.35;1115.7;0;306
76;30.10.2022;12.9;9.2;17.5;13.35;1129.05;0;434
76;31.10.2022;13.2;9.7;17.8;13.75;1142.8;0;307
76;01.11.2022;13;8.9;16.5;12.7;1155.5;14.5;171
76;02.11.2022;11.6;7;15.3;11.15;1166.65;0;391
76;03.11.2022;9.2;5.4;11.6;8.5;1175.15;16.2;72
76;04.11.2022;7.2;5.1;9.4;7.25;1182.4;3.5;12
76;05.11.2022;7.2;4;11.4;7.7;1190.1;0;191
76;06.11.2022;7.3;1.9;11.6;6.75;1196.85;0.2;113
76;07.11.2022;10.2;5.7;15.5;10.6;1207.45;0;523
76;08.11.2022;10.4;4.7;16.9;10.8;1218.25;0;224
76;09.11.2022;11;9.6;13.7;11.65;1229.9;30.4;0
76;10.11.2022;11.5;8;14.6;11.3;1241.2;0;491
76;11.11.2022;9.3;6.2;12.2;9.2;1250.4;0;209
76;12.11.2022;9.1;7.8;10.1;8.95;1259.35;0;0
76;13.11.2022;7.8;5.1;10.3;7.7;1267.05;0;120
76;14.11.2022;11.2;6.3;14.8;10.55;1277.6;2.1;39
76;15.11.2022;9.9;8.9;11.1;10;1287.6;23;0
76;16.11.2022;10.2;6.3;13.6;9.95;1297.55;0.7;369
76;17.11.2022;11.7;9.4;14.5;11.95;1309.5;4.2;84
76;18.11.2022;8;4.7;10.9;7.8;1317.3;2.4;43
76;19.11.2022;6.3;3.1;9.6;6.35;1323.65;0.9;148
76;20.11.2022;5.8;2.2;9.3;5.75;1329.4;0.7;345
76;21.11.2022;5.9;3.9;7.4;5.65;1335.05;7;80
76;22.11.2022;5.6;1.7;7.7;4.7;1339.75;1.4;85
76;23.11.2022;4.2;-0.2;7;3.4;1343.15;5;99
76;24.11.2022;7.2;5.4;11.2;8.3;1351.45;0.9;242
76;25.11.2022;7;3.2;9.7;6.45;1357.9;0.7;35
76;26.11.2022;6.1;1.7;10;5.85;1363.75;0;381
76;27.11.2022;4.8;2.7;6.6;4.65;1368.4;0;88
76;28.11.2022;6.2;3.2;8.8;6;1374.4;0.8;0
76;29.11.2022;5.8;4.1;7.5;5.8;1380.2;3.2;0
76;30.11.2022;6.4;4.4;8.1;6.25;1386.45;0;8
76;01.12.2022;4.5;3.7;5.6;4.65;1391.1;0;0
76;02.12.2022;4.4;3.5;5.2;4.35;1395.45;0;0
76;03.12.2022;2.4;-0.1;3.8;1.85;1397.3;0;0
76;04.12.2022;3.3;1.2;5.6;3.4;1400.7;5;21
76;05.12.2022;2.4;-0.4;6.7;3.15;1403.85;0;197
76;06.12.2022;1.6;-0.6;4;1.7;1405.55;0;83
76;07.12.2022;2.8;1.9;3.7;2.8;1408.35;0;0
76;08.12.2022;2.3;-0.9;4.1;1.6;1409.95;3.5;365
76;09.12.2022;0.9;-0.1;2.2;1.05;1411;14;0
76;10.12.2022;1.4;0.1;2.5;1.3;1412.3;0.1;0
76;11.12.2022;-1.3;-4.2;1.1;-1.55;1410.75;0;453
76;12.12.2022;-2.1;-4.3;0.3;-2;1408.75;0;53
76;13.12.2022;-1.5;-3.6;0.1;-1.75;1407;1.7;0
76;14.12.2022;3.9;-0.2;7.5;3.65;1410.65;2;9
76;15.12.2022;4.4;1.9;6.4;4.15;1414.8;15.1;0
76;16.12.2022;3.1;0.2;4.3;2.25;1417.05;6.7;0
76;17.12.2022;-0.5;-2.8;0.8;-1;1416.05;0;0
76;18.12.2022;0.7;-0.6;2.4;0.9;1416.95;0;166
76;19.12.2022;4.2;0.4;8.6;4.5;1421.45;0;214
76;20.12.2022;9;3.1;12.9;8;1429.45;0;115
76;21.12.2022;9;7.4;10.6;9;1438.45;3.8;28
76;22.12.2022;9.6;8.5;11.2;9.85;1448.3;13.1;0
76;23.12.2022;11.1;9.4;12.3;10.85;1459.15;28.7;0
76;24.12.2022;10.5;8.5;12.4;10.45;1469.6;1;9
76;25.12.2022;8.2;5.5;9.6;7.55;1477.15;0;47
76;26.12.2022;10;6.6;11.9;9.25;1486.4;2.3;0
76;27.12.2022;6.6;1;10.3;5.65;1492.05;0;309
76;28.12.2022;6;-0.2;10.8;5.3;1497.35;0;346
76;29.12.2022;8.5;6.4;11.3;8.85;1506.2;14.6;11
76;30.12.2022;8.2;6;11;8.5;1514.7;10;0
76;31.12.2022;11.3;7.3;14.9;11.1;1525.8;0;77
76;01.01.2023;12.1;7.8;16.1;11.95;1537.75;0;392
76;02.01.2023;11.3;7.9;14.5;11.2;1548.95;3.2;31
76;03.01.2023;7.7;6.8;8.6;7.7;1556.65;2;0
76;04.01.2023;6.8;2.6;9.3;5.95;1562.6;0;84
76;05.01.2023;7.8;2.9;10.8;6.85;1569.45;1.8;226
76;06.01.2023;6.4;2.8;7.7;5.25;1574.7;0;0
76;07.01.2023;7.9;5.2;11.5;8.35;1583.05;0;425
76;08.01.2023;7.4;6.4;9.2;7.8;1590.85;17.7;0
76;09.01.2023;5.3;3;8.8;5.9;1596.75;9.5;15
76;10.01.2023;4.9;1.4;7.2;4.3;1601.05;0.1;323
76;11.01.2023;5.6;2.5;7.5;5;1606.05;3.7;0
76;12.01.2023;5.9;3.4;7.5;5.45;1611.5;0;44
76;13.01.2023;6.9;5.1;9.5;7.3;1618.8;3.6;37
76;14.01.2023;6.8;3.1;9.4;6.25;1625.05;1.6;0
76;15.01.2023;5.2;-0.2;9.2;4.5;1629.55;7.4;70
76;16.01.2023;2.1;-0.1;5.3;2.6;1632.15;10.4;1
76;17.01.2023;1.2;-0.1;3.5;1.7;1633.85;11.4;6
76;18.01.2023;0.4;-3;1.6;-0.7;1633.15;7;0
76;19.01.2023;-3.1;-6.5;0.2;-3.15;1630;0;490
76;20.01.2023;-3.5;-7.7;-0.4;-4.05;1625.95;0;48
76;21.01.2023;-1.7;-6.1;0.4;-2.85;1623.1;0;484
76;22.01.2023;-0.5;-1.6;0.4;-0.6;1622.5;0;35
76;23.01.2023;-0.3;-0.9;0.9;0;1622.5;0;3
76;24.01.2023;1.1;-0.2;1.8;0.8;1623.3;0;0
76;25.01.2023;0.7;0.1;1.2;0.65;1623.95;0;0
76;26.01.2023;0.1;-0.4;0.9;0.25;1624.2;0;0
76;27.01.2023;-0.3;-0.7;0.6;-0.05;1624.15;0;4
76;28.01.2023;0.4;-0.6;1.1;0.25;1624.4;0;32
76;29.01.2023;-0.4;-4;1.1;-1.45;1622.95;0;0
76;30.01.2023;-0.6;-4.4;3.1;-0.65;1622.3;0;402
76;31.01.2023;1.9;-2.3;5.4;1.55;1623.85;0;427
76;01.02.2023;3.4;-1.7;7.5;2.9;1626.75;0;455
76;02.02.2023;4.6;1.8;8.6;5.2;1631.95;0;318
76;03.02.2023;3.7;-0.5;8;3.75;1635.7;0;475
76;04.02.2023;5.7;0.5;10.4;5.45;1641.15;0;285
76;05.02.2023;4.6;-0.1;8.1;4;1645.15;0.5;148
76;06.02.2023;3;0.4;4.1;2.25;1647.4;0;0
76;07.02.2023;1.2;-1.8;4.7;1.45;1648.85;0;548
76;08.02.2023;-0.4;-3.4;2.3;-0.55;1648.3;0;349
76;09.02.2023;-0.8;-4.6;3.9;-0.35;1647.95;0;523
76;10.02.2023;0.5;-3.5;5.1;0.8;1648.75;0;515
76;11.02.2023;1;-3.6;6.2;1.3;1650.05;0;540
76;12.02.2023;2.5;-1.9;7.7;2.9;1652.95;0;558
76;13.02.2023;2.7;-1.6;7.7;3.05;1656;0;536
76;14.02.2023;3.2;-1.3;9.6;4.15;1660.15;0;550
76;15.02.2023;4;-0.9;10.7;4.9;1665.05;0;502
76;16.02.2023;5.1;-0.3;11.5;5.6;1670.65;0;499
76;17.02.2023;7.9;2.6;13.6;8.1;1678.75;0;102
76;18.02.2023;8.5;3.7;14.9;9.3;1688.05;0;558
76;19.02.2023;8.1;2.7;14.2;8.45;1696.5;0;464
76;20.02.2023;6.6;1.6;12.9;7.25;1703.75;0;574
76;21.02.2023;6.9;1.8;13.3;7.55;1711.3;0;561
76;22.02.2023;7.3;2.7;10.8;6.75;1718.05;0.6;63
76;23.02.2023;8.9;6.2;12.6;9.4;1727.45;0;396
76;24.02.2023;9;3.2;14.1;8.65;1736.1;0.1;480
76;25.02.2023;7.1;2.9;11.6;7.25;1743.35;0;331
76;26.02.2023;0.9;-0.3;3;1.35;1744.7;0;444
76;27.02.2023;0.7;-0.8;3.7;1.45;1746.15;0;584
76;28.02.2023;1.2;-0.8;5;2.1;1748.25;0;229
76;01.03.2023;1.1;-0.1;2.5;1.2;1749.45;0;0
76;02.03.2023;2.7;-1;6.3;2.65;1752.1;0;313
76;03.03.2023;1.8;-2.3;4.8;1.25;1753.35;0;47
76;04.03.2023;5.7;2.2;10.2;6.2;1759.55;0;389
76;05.03.2023;2.7;-1.8;6.8;2.5;1762.05;0;590
76;06.03.2023;3.8;-2.3;11.4;4.55;1766.6;0;523
76;07.03.2023;3.7;-2.1;10.3;4.1;1770.7;0;342
76;08.03.2023;6.7;-0.3;10.6;5.15;1775.85;3.8;0
76;09.03.2023;11.9;9.1;16.4;12.75;1788.6;2;266
76;10.03.2023;8.1;4.4;11.2;7.8;1796.4;8.5;125
76;11.03.2023;5;4.2;6.1;5.15;1801.55;7.1;0
76;12.03.2023;9.6;5.7;14.3;10;1811.55;3.3;284
76;13.03.2023;13.5;7.5;20.1;13.8;1825.35;7.1;416
