"","ID","date","bloc.y","culture.y","variety","nb_feuille","se_F","d_collet","se_c","h_tige","se_T","dry_weight","nb_larva_FB","count"
"1","asso _ 1 _ 1","2023-02-22",1,"asso",1,9.4,0.92736184954957,15.54,3.83570071825214,8.64,1.30560330881934,79.8,32,5
"2","asso _ 1 _ 2","2023-02-22",1,"asso",2,8,0.316227766016838,13.36,1.95514705329292,7.18,1.08277421469113,33.4,21,5
"3","asso _ 1 _ 3","2023-02-22",1,"asso",3,6.4,0.678232998312527,12.84,2.08100937047386,9.4,0.620483682299543,36.4,13,5
"4","asso _ 1 _ 4","2023-02-22",1,"asso",4,7.6,1.0770329614269,16.32,2.969579094754,7,0.987420882906575,45.3,20,5
"5","asso _ 2 _ 1","2023-02-22",2,"asso",1,6.4,0.678232998312527,11.92,1.04182532125112,5.8,0.463680924774785,16,9,5
"6","asso _ 2 _ 2","2023-02-22",2,"asso",2,7.2,0.969535971483266,8.56,1.11830228471554,7.16,3.17184488901964,21.3,12,5
"7","asso _ 2 _ 3","2023-02-22",2,"asso",3,8,0.707106781186548,8.68,1.478309845736,6.16,1.2983065893694,15.5,4,5
"8","asso _ 2 _ 4","2023-02-22",2,"asso",4,9.4,0.4,14.64,1.47193749867309,6.4,0.678232998312527,46,36,5
"9","asso _ 3 _ 1","2023-02-22",3,"asso",1,8.4,1.63095064303001,16.2,3.86108792958669,7.1,1.01734949746879,64.6,29,5
"10","asso _ 3 _ 2","2023-02-22",3,"asso",2,6.8,0.734846922834953,11.44,1.62067887010351,6.6,0.578791845139511,29.2,39,5
"11","asso _ 3 _ 3","2023-02-22",3,"asso",3,6.6,0.678232998312527,11.52,1.96249840764267,7.1,0.620483682299543,32.1,15,5
"12","asso _ 3 _ 4","2023-02-22",3,"asso",4,7.8,0.58309518948453,13.36,1.47023807595913,4.4,0.430116263352131,25,23,5
"13","mono _ 1 _ 1","2023-02-22",1,"mono",1,7.8,1.77200451466693,12.526,3.55196790526041,5.4,0.748331477354788,41,24,5
"14","mono _ 1 _ 2","2023-02-22",1,"mono",2,9,0.707106781186548,12.54,2.40220731828042,7.44,2.82994699597007,32.5,15,5
"15","mono _ 1 _ 3","2023-02-22",1,"mono",3,8,0.707106781186548,13.9,1.66042163320043,9.6,0.4,48.4,19,5
"16","mono _ 1 _ 4","2023-02-22",1,"mono",4,7,0.547722557505166,13.22,1.72493478137581,6.6,0.367423461417477,31.3,21,5
"17","mono _ 2 _ 1","2023-02-22",2,"mono",1,7.8,0.860232526704263,13.66,1.8565020872598,5.1,0.4,34.8,25,5
"18","mono _ 2 _ 2","2023-02-22",2,"mono",2,9,0.836660026534075,20.36,1.39807009838563,5.2,0.254950975679639,48.7,25,5
"19","mono _ 2 _ 3","2023-02-22",2,"mono",3,9.2,0.58309518948453,14.58,0.957287835501946,6.7,0.374165738677394,36.5,25,5
"20","mono _ 2 _ 4","2023-02-22",2,"mono",4,8.6,1.28840987267251,15.72,2.91811583046321,5.2,0.53851648071345,47.8,25,5
"21","mono _ 3 _ 1","2023-02-22",3,"mono",1,6.4,0.812403840463596,7.92,0.792085853932514,2.74,0.357211421989835,9.8,10,5
"22","mono _ 3 _ 2","2023-02-22",3,"mono",2,9.2,0.489897948556636,15.3,0.887693640846886,3.7,0.2,24.5,14,5
"23","mono _ 3 _ 3","2023-02-22",3,"mono",3,8.8,1.35646599662505,11.64,2.63924231551406,3.7,0.604152298679729,26.1,11,5
"24","mono _ 3 _ 4","2023-02-22",3,"mono",4,8,0.948683298050514,14.16,2.07812415413517,3.6,0.187082869338697,24.8,30,5
