"";"M";"year";"variety";"culture";"bloc";"Rdt.net";"PMG";"seeds.surface";"shotholes_NB_mean";"shotholes_NB_median";"Leaves_NB";"Collar_D";"Stem_elongation";"larva.plant";"biomasse";"Collar_D_feb";"oviposition_NB";"Stem_height";"Ramification_NB";"D_OSR_february";"D_FB_february";"Pollenbeetle_NB"
"1";"2023 angelico mixedcropped 1";2023;"angelico";"mixedcropped";1;18,35;5,2;38380,0521512386;9,8;4,5;6,73333333333333;12,2666666666667;9,5;6,4;15,96;"15";0,2;44,5333333333333;10,5333333333333;17;4;1,46666666666667
"2";"2023 angelico mixedcropped 2";2023;"angelico";"mixedcropped";2;19,61;5,6;38362,5907990315;3,2;2;6,2;10,9333333333333;10,1333333333333;1,8;3,2;"12.9333333333333";0,466666666666667;53,3333333333333;11,4666666666667;26;10;4,46666666666667
"3";"2023 angelico mixedcropped 3";2023;"angelico";"mixedcropped";3;15,6;5,5;30893,6825885978;6,6;4;5,53333333333333;11,1333333333333;7,7;5,8;12,92;"11.4";0;37;9;19;10;1,4
"4";"2023 angelico monocropped 1";2023;"angelico";"monocropped";1;13,53;5,4;26914,6264908977;6,5;4,5;8,06666666666667;16,2;8,66666666666667;4,8;8,2;"22";0,4;48,4;7,4;16;0;4,86666666666667
"5";"2023 angelico monocropped 2";2023;"angelico";"monocropped";2;15,1;5,5;29429,8921417565;2,5;0,5;6,66666666666667;10,2666666666667;8,3;5;6,96;"16.7333333333333";1,06666666666667;41,4666666666667;7,26666666666667;24;0;4,93333333333333
"6";"2023 angelico monocropped 3";2023;"angelico";"monocropped";3;6,8;5,8;13661,6014026885;6,3;5;6,53333333333333;9,13333333333333;7,16666666666667;2;1,96;"12.0666666666667";0,4;18,6;0;10;0;NA
"7";"2023 feliciano mixedcropped 1";2023;"feliciano";"mixedcropped";1;26,4;4,2;65173,5270379338;2,2;1;6,26666666666667;10,8666666666667;16,4;2,6;7,28;"15.2666666666667";0,666666666666667;77,2;9,8;24;11;3,4
"8";"2023 feliciano mixedcropped 2";2023;"feliciano";"mixedcropped";2;19,69;4,7;44536,6029570862;9,8;7,5;6,66666666666667;9,33333333333333;13,5666666666667;0,8;3,1;"13.5333333333333";1,2;59,2666666666667;9,26666666666667;19;10;6,4
"9";"2023 feliciano mixedcropped 3";2023;"feliciano";"mixedcropped";3;10,48;5,1;22266,5337321369;3,8;3;5,93333333333333;10,0666666666667;7,7;3;6,42;"9.46666666666667";0,333333333333333;36;6,66666666666667;20;9;2
"10";"2023 feliciano monocropped 1";2023;"feliciano";"monocropped";1;19,22;4,6;43570,3758290346;3,7;3;7,85714285714286;13,8;12,8333333333333;3,8;9,68;"12.4";0,866666666666667;63,8;10;32;0;5,33333333333333
