Date;Tmin;Tmax;DD;Cum_DD;;
2022.02.23;;;11.72142857;11.72142857;;
2022.02.24;;;11.72142857;23.44285714;;
2022.02.25;;;11.72142857;35.16428571;;
2022.02.26;;;11.72142857;46.88571429;;
2022.02.27;;;11.72142857;58.60714286;;
2022.02.28;;;11.72142857;70.32857143;;
2022.03.01;7.5;15.7;11.6;81.92857143;;
2022.03.02;7.1;15.1;11.1;93.02857143;;
2022.03.03;8;17.4;12.7;105.7285714;;
2022.03.04;8.5;15.9;12.2;117.9285714;;
2022.03.05;7.5;16.7;12.1;130.0285714;;
2022.03.06;8;15.1;11.55;141.5785714;;
2022.03.07;6.5;15.1;10.8;152.3785714;;
2022.03.08;7.585714286;15.85714286;11.72142857;164.1;;
2022.03.09;7.8;15.9;11.85;175.95;;
2022.03.10;7.1;17.4;12.25;188.2;;
2022.03.11;7.9;17;12.45;200.65;;
2022.03.12;9.8;17.3;13.55;214.2;;
2022.03.13;9.6;16.8;13.2;227.4;;
2022.03.14;8;17.6;12.8;240.2;;
2022.03.15;11;15.2;13.1;253.3;;
2022.03.16;8.6;16.7;12.65;265.95;;
2022.03.17;9.3;19.9;14.6;280.55;;
2022.03.18;10.2;15.1;12.65;293.2;;
2022.03.19;8.8;16.4;12.6;305.8;;
2022.03.20;8.5;18.4;13.45;319.25;;
2022.03.21;7.6;19.3;13.45;332.7;;
2022.03.22;8.2;19.9;14.05;346.75;;
2022.03.23;8;20;14;360.75;;
2022.03.24;8.4;21;14.7;375.45;;
2022.03.25;8.7;20.8;14.75;390.2;;
2022.03.26;9.9;20;14.95;405.15;;
2022.03.27;9.5;19.6;14.55;419.7;;
2022.03.28;8.9;20;14.45;434.15;;
2022.03.29;10.5;19;14.75;448.9;;
2022.03.30;11.2;17.3;14.25;463.15;;
2022.03.31;9.4;17.6;13.5;476.65;;
2022.04.01;7.8;15;11.4;488.05;;
2022.04.02;7.9;14.1;11;499.05;;
2022.04.03;5.9;14.2;10.05;509.1;;
