"","date_full","day","hour","sonde","value","variety","culture","rep"
"1","07.11.2022 19:15","07.11.2022","19:15:00","T_1",19.671724,"OUT","OUT","OUT"
"2","07.11.2022 19:30","07.11.2022","19:30:00","T_1",19.641742,"OUT","OUT","OUT"
"3","07.11.2022 19:45","07.11.2022","19:45:00","T_1",19.621754,"OUT","OUT","OUT"
"4","07.11.2022 20:00","07.11.2022","20:00:00","T_1",19.601766,"OUT","OUT","OUT"
"5","07.11.2022 20:15","07.11.2022","20:15:00","T_1",19.601766,"OUT","OUT","OUT"
"6","07.11.2022 20:30","07.11.2022","20:30:00","T_1",19.601766,"OUT","OUT","OUT"
"7","07.11.2022 20:45","07.11.2022","20:45:00","T_1",19.591772,"OUT","OUT","OUT"
"8","07.11.2022 21:00","07.11.2022","21:00:00","T_1",19.581778,"OUT","OUT","OUT"
"9","07.11.2022 21:15","07.11.2022","21:15:00","T_1",19.581778,"OUT","OUT","OUT"
"10","07.11.2022 21:30","07.11.2022","21:30:00","T_1",19.56179,"OUT","OUT","OUT"
"11","07.11.2022 21:45","07.11.2022","21:45:00","T_1",19.56179,"OUT","OUT","OUT"
"12","07.11.2022 22:00","07.11.2022","22:00:00","T_1",19.581778,"OUT","OUT","OUT"
"13","07.11.2022 22:15","07.11.2022","22:15:00","T_1",19.581778,"OUT","OUT","OUT"
"14","07.11.2022 22:30","07.11.2022","22:30:00","T_1",19.541802,"OUT","OUT","OUT"
"15","07.11.2022 22:45","07.11.2022","22:45:00","T_1",19.541802,"OUT","OUT","OUT"
"16","07.11.2022 23:00","07.11.2022","23:00:00","T_1",19.491832,"OUT","OUT","OUT"
"17","07.11.2022 23:15","07.11.2022","23:15:00","T_1",19.46185,"OUT","OUT","OUT"
"18","07.11.2022 23:30","07.11.2022","23:30:00","T_1",19.41188,"OUT","OUT","OUT"
"19","07.11.2022 23:45","07.11.2022","23:45:00","T_1",19.371904,"OUT","OUT","OUT"
"20","08.11.2022 00:00","08.11.2022","00:00:00","T_1",19.341922,"OUT","OUT","OUT"
"21","08.11.2022 00:15","08.11.2022","00:15:00","T_1",19.301946,"OUT","OUT","OUT"
"22","08.11.2022 00:30","08.11.2022","00:30:00","T_1",19.331928,"OUT","OUT","OUT"
"23","08.11.2022 00:45","08.11.2022","00:45:00","T_1",19.391892,"OUT","OUT","OUT"
"24","08.11.2022 01:00","08.11.2022","01:00:00","T_1",19.41188,"OUT","OUT","OUT"
"25","08.11.2022 01:15","08.11.2022","01:15:00","T_1",19.431868,"OUT","OUT","OUT"
"26","08.11.2022 01:30","08.11.2022","01:30:00","T_1",19.41188,"OUT","OUT","OUT"
"27","08.11.2022 01:45","08.11.2022","01:45:00","T_1",19.421874,"OUT","OUT","OUT"
"28","08.11.2022 02:00","08.11.2022","02:00:00","T_1",19.421874,"OUT","OUT","OUT"
"29","08.11.2022 02:15","08.11.2022","02:15:00","T_1",19.41188,"OUT","OUT","OUT"
"30","08.11.2022 02:30","08.11.2022","02:30:00","T_1",19.421874,"OUT","OUT","OUT"
"31","08.11.2022 02:45","08.11.2022","02:45:00","T_1",19.41188,"OUT","OUT","OUT"
"32","08.11.2022 03:00","08.11.2022","03:00:00","T_1",19.421874,"OUT","OUT","OUT"
"33","08.11.2022 03:15","08.11.2022","03:15:00","T_1",19.421874,"OUT","OUT","OUT"
"34","08.11.2022 03:30","08.11.2022","03:30:00","T_1",19.421874,"OUT","OUT","OUT"
"35","08.11.2022 03:45","08.11.2022","03:45:00","T_1",19.401886,"OUT","OUT","OUT"
"36","08.11.2022 04:00","08.11.2022","04:00:00","T_1",19.421874,"OUT","OUT","OUT"
"37","08.11.2022 04:15","08.11.2022","04:15:00","T_1",19.421874,"OUT","OUT","OUT"
"38","08.11.2022 04:30","08.11.2022","04:30:00","T_1",19.401886,"OUT","OUT","OUT"
"39","08.11.2022 04:45","08.11.2022","04:45:00","T_1",19.41188,"OUT","OUT","OUT"
"40","08.11.2022 05:00","08.11.2022","05:00:00","T_1",19.391892,"OUT","OUT","OUT"
"41","08.11.2022 05:15","08.11.2022","05:15:00","T_1",19.401886,"OUT","OUT","OUT"
"42","08.11.2022 05:30","08.11.2022","05:30:00","T_1",19.401886,"OUT","OUT","OUT"
"43","08.11.2022 05:45","08.11.2022","05:45:00","T_1",19.381898,"OUT","OUT","OUT"
"44","08.11.2022 06:00","08.11.2022","06:00:00","T_1",19.381898,"OUT","OUT","OUT"
"45","08.11.2022 06:15","08.11.2022","06:15:00","T_1",19.371904,"OUT","OUT","OUT"
"46","08.11.2022 06:30","08.11.2022","06:30:00","T_1",19.351916,"OUT","OUT","OUT"
"47","08.11.2022 06:45","08.11.2022","06:45:00","T_1",19.391892,"OUT","OUT","OUT"
"48","08.11.2022 07:00","08.11.2022","07:00:00","T_1",19.381898,"OUT","OUT","OUT"
"49","08.11.2022 07:15","08.11.2022","07:15:00","T_1",19.331928,"OUT","OUT","OUT"
"50","08.11.2022 07:30","08.11.2022","07:30:00","T_1",19.321934,"OUT","OUT","OUT"
"51","08.11.2022 07:45","08.11.2022","07:45:00","T_1",19.471844,"OUT","OUT","OUT"
"52","08.11.2022 08:00","08.11.2022","08:00:00","T_1",19.132048,"OUT","OUT","OUT"
"53","08.11.2022 08:15","08.11.2022","08:15:00","T_1",17.153236,"OUT","OUT","OUT"
"54","08.11.2022 08:30","08.11.2022","08:30:00","T_1",14.484838,"OUT","OUT","OUT"
"55","08.11.2022 08:45","08.11.2022","08:45:00","T_1",14.045102,"OUT","OUT","OUT"
"56","08.11.2022 09:00","08.11.2022","09:00:00","T_1",13.345522,"OUT","OUT","OUT"
"57","08.11.2022 09:15","08.11.2022","09:15:00","T_1",13.145642,"OUT","OUT","OUT"
