date;parcelle;bloc;variete;culture;plante;nb_feuille;H_fev;d_collet;h_tige;weight_fresh;weight_dry;h-tige 2;H_tige_verte;nb_piqures;Piqures;Pollen_beetle;splitting;nb_ramification;bushy;Tortuotype;tortuo_A;tortuo_B;tortuo_C
02.11.2022;52;1;1;asso;1;10;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;asso;2;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;asso;3;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;asso;4;3;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;asso;5;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;asso;6;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;asso;7;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;asso;8;4;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;asso;9;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;asso;10;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;asso;11;11;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;asso;12;13;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;asso;13;3;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;asso;14;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;1;asso;15;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;asso;1;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;asso;2;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;asso;3;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;asso;4;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;asso;5;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;asso;6;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;asso;7;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;asso;8;3;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;asso;9;11;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;asso;10;4;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;asso;11;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;asso;12;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;asso;13;4;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;asso;14;4;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;2;asso;15;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;asso;1;11;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;asso;2;3;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;asso;3;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;asso;4;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;asso;5;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;asso;6;11;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;asso;7;11;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;asso;8;3;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;asso;9;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;asso;10;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;asso;11;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;asso;12;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;asso;13;3;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;asso;14;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;3;asso;15;4;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;1;4;asso;1;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
