"","date_full","date","hour","sonde","value","variety","culture","bac","modality"
"1",2022-03-25 09:15:00,2022-03-25,1899-12-31 09:15:00,"T_1",8.46845,"Ext",NA,NA,"Ext"
"2",2022-03-25 09:30:00,2022-03-25,1899-12-31 09:30:00,"T_1",4.355919,"Ext",NA,NA,"Ext"
"3",2022-03-25 09:45:00,2022-03-25,1899-12-31 09:45:00,"T_1",4.4128848,"Ext",NA,NA,"Ext"
"4",2022-03-25 10:00:00,2022-03-25,1899-12-31 10:00:00,"T_1",4.3649136,"Ext",NA,NA,"Ext"
"5",2022-03-25 10:15:00,2022-03-25,1899-12-31 10:15:00,"T_1",9.028114,"Ext",NA,NA,"Ext"
"6",2022-03-25 10:30:00,2022-03-25,1899-12-31 10:30:00,"T_1",9.427874,"Ext",NA,NA,"Ext"
"7",2022-03-25 10:45:00,2022-03-25,1899-12-31 10:45:00,"T_1",9.46785,"Ext",NA,NA,"Ext"
"8",2022-03-25 11:00:00,2022-03-25,1899-12-31 11:00:00,"T_1",9.477844,"Ext",NA,NA,"Ext"
"9",2022-03-25 11:15:00,2022-03-25,1899-12-31 11:15:00,"T_1",9.477844,"Ext",NA,NA,"Ext"
"10",2022-03-25 11:30:00,2022-03-25,1899-12-31 11:30:00,"T_1",9.487838,"Ext",NA,NA,"Ext"
"11",2022-03-25 11:45:00,2022-03-25,1899-12-31 11:45:00,"T_1",9.477844,"Ext",NA,NA,"Ext"
"12",2022-03-25 12:00:00,2022-03-25,1899-12-31 12:00:00,"T_1",11.146842,"Ext",NA,NA,"Ext"
"13",2022-03-25 12:15:00,2022-03-25,1899-12-31 12:15:00,"T_1",14.384898,"Ext",NA,NA,"Ext"
"14",2022-03-25 12:30:00,2022-03-25,1899-12-31 12:30:00,"T_1",14.444862,"Ext",NA,NA,"Ext"
"15",2022-03-25 12:45:00,2022-03-25,1899-12-31 12:45:00,"T_1",14.46485,"Ext",NA,NA,"Ext"
"16",2022-03-25 13:00:00,2022-03-25,1899-12-31 13:00:00,"T_1",14.46485,"Ext",NA,NA,"Ext"
"17",2022-03-25 13:15:00,2022-03-25,1899-12-31 13:15:00,"T_1",14.46485,"Ext",NA,NA,"Ext"
"18",2022-03-25 13:30:00,2022-03-25,1899-12-31 13:30:00,"T_1",18.41248,"Ext",NA,NA,"Ext"
"19",2022-03-25 13:45:00,2022-03-25,1899-12-31 13:45:00,"T_1",19.381898,"Ext",NA,NA,"Ext"
"20",2022-03-25 14:00:00,2022-03-25,1899-12-31 14:00:00,"T_1",19.46185,"Ext",NA,NA,"Ext"
"21",2022-03-25 14:15:00,2022-03-25,1899-12-31 14:15:00,"T_1",19.46185,"Ext",NA,NA,"Ext"
"22",2022-03-25 14:30:00,2022-03-25,1899-12-31 14:30:00,"T_1",19.46185,"Ext",NA,NA,"Ext"
"23",2022-03-25 14:45:00,2022-03-25,1899-12-31 14:45:00,"T_1",19.46185,"Ext",NA,NA,"Ext"
"24",2022-03-25 15:00:00,2022-03-25,1899-12-31 15:00:00,"T_1",19.471844,"Ext",NA,NA,"Ext"
"25",2022-03-25 15:15:00,2022-03-25,1899-12-31 15:15:00,"T_1",22.250176,"Ext",NA,NA,"Ext"
"26",2022-03-25 15:30:00,2022-03-25,1899-12-31 15:30:00,"T_1",24.35891,"Ext",NA,NA,"Ext"
"27",2022-03-25 15:45:00,2022-03-25,1899-12-31 15:45:00,"T_1",24.428868,"Ext",NA,NA,"Ext"
"28",2022-03-25 16:00:00,2022-03-25,1899-12-31 16:00:00,"T_1",28.65633,"Ext",NA,NA,"Ext"
"29",2022-03-25 16:15:00,2022-03-25,1899-12-31 16:15:00,"T_1",29.385892,"Ext",NA,NA,"Ext"
"30",2022-03-25 16:30:00,2022-03-25,1899-12-31 16:30:00,"T_1",36.891386,"Ext",NA,NA,"Ext"
"31",2022-03-25 16:45:00,2022-03-25,1899-12-31 16:45:00,"T_1",39.369898,"Ext",NA,NA,"Ext"
"32",2022-03-25 17:00:00,2022-03-25,1899-12-31 17:00:00,"T_1",39.419868,"Ext",NA,NA,"Ext"
"33",2022-03-29 15:00:00,2022-03-29,1899-12-31 15:00:00,"T_1",23.549396,"Ext",NA,NA,"Ext"
"34",2022-03-29 15:15:00,2022-03-29,1899-12-31 15:15:00,"T_1",23.569384,"Ext",NA,NA,"Ext"
"35",2022-03-29 15:30:00,2022-03-29,1899-12-31 15:30:00,"T_1",23.589372,"Ext",NA,NA,"Ext"
"36",2022-03-29 15:45:00,2022-03-29,1899-12-31 15:45:00,"T_1",23.60936,"Ext",NA,NA,"Ext"
"37",2022-03-29 16:00:00,2022-03-29,1899-12-31 16:00:00,"T_1",23.629348,"Ext",NA,NA,"Ext"
"38",2022-03-29 16:15:00,2022-03-29,1899-12-31 16:15:00,"T_1",23.65933,"Ext",NA,NA,"Ext"
"39",2022-03-29 16:30:00,2022-03-29,1899-12-31 16:30:00,"T_1",23.969144,"Ext",NA,NA,"Ext"
"40",2022-03-29 16:45:00,2022-03-29,1899-12-31 16:45:00,"T_1",24.099066,"Ext",NA,NA,"Ext"
"41",2022-03-29 17:00:00,2022-03-29,1899-12-31 17:00:00,"T_1",23.40948,"Ext",NA,NA,"Ext"
"42",2022-03-29 17:15:00,2022-03-29,1899-12-31 17:15:00,"T_1",23.589372,"Ext",NA,NA,"Ext"
"43",2022-03-29 17:30:00,2022-03-29,1899-12-31 17:30:00,"T_1",24.049096,"Ext",NA,NA,"Ext"
"44",2022-03-29 17:45:00,2022-03-29,1899-12-31 17:45:00,"T_1",24.328928,"Ext",NA,NA,"Ext"
"45",2022-03-29 18:00:00,2022-03-29,1899-12-31 18:00:00,"T_1",24.348916,"Ext",NA,NA,"Ext"
"46",2022-03-29 18:15:00,2022-03-29,1899-12-31 18:15:00,"T_1",24.418874,"Ext",NA,NA,"Ext"
"47",2022-03-29 18:30:00,2022-03-29,1899-12-31 18:30:00,"T_1",23.879198,"Ext",NA,NA,"Ext"
"48",2022-03-29 18:45:00,2022-03-29,1899-12-31 18:45:00,"T_1",24.139042,"Ext",NA,NA,"Ext"
