variete;culture;bac;bloc;plante;date;no_feuille;ramif_bf_winter;Ramification;feuille_morte;H_total;stade_BBCH;H_ramification_haute;H_ramification_basse
feliciano;mono;1;sudest;1; 2022.03.29;cot1;;na;no;na;na;na;
feliciano;mono;1;sudest;1; 2022.03.29;cot2;;na;no;na;na;na;
feliciano;mono;1;sudest;1; 2022.03.29;1;;na;no;na;na;na;
feliciano;mono;1;sudest;1; 2022.03.29;2;;na;no;na;na;na;
feliciano;mono;1;sudest;1; 2022.03.29;3;;na;no;na;na;na;
feliciano;mono;1;sudest;1; 2022.03.29;4;;na;no;na;na;na;
feliciano;mono;1;sudest;2; 2022.03.29;cot1;;na;no;na;na;na;
feliciano;mono;1;sudest;2; 2022.03.29;cot2;;na;no;na;na;na;
feliciano;mono;1;sudest;2; 2022.03.29;1;;na;no;na;na;na;
feliciano;mono;1;sudest;2; 2022.03.29;2;;na;no;na;na;na;
feliciano;mono;1;sudest;2; 2022.03.29;3;;na;no;na;na;na;
feliciano;mono;1;sudest;2; 2022.03.29;4;;na;no;na;na;na;
feliciano;mono;1;sudest;2; 2022.03.29;5;;na;no;na;na;na;
feliciano;mono;1;sudest;2; 2022.03.29;6;;na;no;na;na;na;
feliciano;mono;1;sudest;3; 2022.03.29;cot1;;na;no;na;na;na;
feliciano;mono;1;sudest;3; 2022.03.29;cot2;;na;no;na;na;na;
feliciano;mono;1;sudest;3; 2022.03.29;1;;na;no;na;na;na;
feliciano;mono;1;sudest;3; 2022.03.29;2;;na;no;na;na;na;
feliciano;mono;1;sudest;3; 2022.03.29;3;;na;no;na;na;na;
feliciano;mono;1;sudest;3; 2022.03.29;4;;na;no;na;na;na;
feliciano;mono;1;sudest;3; 2022.03.29;5;;na;no;na;na;na;
feliciano;mono;1;sudest;4; 2022.03.29;cot1;;na;no;na;na;na;
feliciano;mono;1;sudest;4; 2022.03.29;cot2;;na;no;na;na;na;
feliciano;mono;1;sudest;4; 2022.03.29;1;;na;no;na;na;na;
feliciano;mono;1;sudest;4; 2022.03.29;2;;na;no;na;na;na;
feliciano;mono;1;sudest;4; 2022.03.29;3;;na;no;na;na;na;
feliciano;mono;1;sudest;4; 2022.03.29;4;;na;no;na;na;na;
feliciano;mono;1;sudest;4; 2022.03.29;5;;na;no;na;na;na;
feliciano;mono;1;sudest;4; 2022.03.29;6;;na;no;na;na;na;
mambo;mono;1;sudest;1; 2022.03.29;cot1;;na;no;na;na;na;
mambo;mono;1;sudest;1; 2022.03.29;cot2;;na;no;na;na;na;
mambo;mono;1;sudest;1; 2022.03.29;1;;na;no;na;na;na;
mambo;mono;1;sudest;1; 2022.03.29;2;;na;no;na;na;na;
mambo;mono;1;sudest;1; 2022.03.29;3;;na;no;na;na;na;
mambo;mono;1;sudest;1; 2022.03.29;4;;na;no;na;na;na;
mambo;mono;1;sudest;1; 2022.03.29;5;;na;no;na;na;na;
mambo;mono;1;sudest;2; 2022.03.29;cot1;;na;no;na;na;na;
mambo;mono;1;sudest;2; 2022.03.29;cot2;;na;no;na;na;na;
mambo;mono;1;sudest;2; 2022.03.29;1;;na;no;na;na;na;
mambo;mono;1;sudest;2; 2022.03.29;2;;na;no;na;na;na;
mambo;mono;1;sudest;2; 2022.03.29;3;;na;no;na;na;na;
mambo;mono;1;sudest;2; 2022.03.29;4;;na;no;na;na;na;
mambo;mono;1;sudest;2; 2022.03.29;5;;na;no;na;na;na;
mambo;mono;1;sudest;2; 2022.03.29;6;;na;no;na;na;na;
mambo;mono;1;sudest;3; 2022.03.29;cot1;;na;no;na;na;na;
mambo;mono;1;sudest;3; 2022.03.29;cot2;;na;no;na;na;na;
mambo;mono;1;sudest;3; 2022.03.29;1;;na;no;na;na;na;
mambo;mono;1;sudest;3; 2022.03.29;2;;na;no;na;na;na;
mambo;mono;1;sudest;3; 2022.03.29;3;;na;no;na;na;na;
mambo;mono;1;sudest;3; 2022.03.29;4;;na;no;na;na;na;
mambo;mono;1;sudest;3; 2022.03.29;5;;na;no;na;na;na;
mambo;mono;1;sudest;4; 2022.03.29;cot1;;na;no;na;na;na;
mambo;mono;1;sudest;4; 2022.03.29;cot2;;na;no;na;na;na;
mambo;mono;1;sudest;4; 2022.03.29;1;;na;no;na;na;na;
mambo;mono;1;sudest;4; 2022.03.29;2;;na;no;na;na;na;
mambo;mono;1;sudest;4; 2022.03.29;3;;na;no;na;na;na;
mambo;mono;1;sudest;4; 2022.03.29;4;;na;no;na;na;na;
mambo;mono;1;sudest;4; 2022.03.29;5;;na;no;na;na;na;
angelico;mono;1;sudest;1; 2022.03.29;cot1;;na;no;na;na;na;
angelico;mono;1;sudest;1; 2022.03.29;cot2;;na;no;na;na;na;
angelico;mono;1;sudest;1; 2022.03.29;1;;na;no;na;na;na;
angelico;mono;1;sudest;1; 2022.03.29;2;;na;no;na;na;na;
angelico;mono;1;sudest;1; 2022.03.29;3;;na;no;na;na;na;
angelico;mono;1;sudest;1; 2022.03.29;4;;na;no;na;na;na;
angelico;mono;1;sudest;1; 2022.03.29;5;;na;no;na;na;na;
angelico;mono;1;sudest;2; 2022.03.29;cot1;;na;no;na;na;na;
angelico;mono;1;sudest;2; 2022.03.29;cot2;;na;no;na;na;na;
angelico;mono;1;sudest;2; 2022.03.29;1;;na;no;na;na;na;
angelico;mono;1;sudest;2; 2022.03.29;2;;na;no;na;na;na;
angelico;mono;1;sudest;2; 2022.03.29;3;;na;no;na;na;na;
angelico;mono;1;sudest;2; 2022.03.29;4;;na;no;na;na;na;
angelico;mono;1;sudest;2; 2022.03.29;5;;na;no;na;na;na;
angelico;mono;1;sudest;3; 2022.03.29;cot1;;na;no;na;na;na;
angelico;mono;1;sudest;3; 2022.03.29;cot2;;na;no;na;na;na;
angelico;mono;1;sudest;3; 2022.03.29;1;;na;no;na;na;na;
angelico;mono;1;sudest;3; 2022.03.29;2;;na;no;na;na;na;
angelico;mono;1;sudest;3; 2022.03.29;3;;na;no;na;na;na;
angelico;mono;1;sudest;3; 2022.03.29;4;;na;no;na;na;na;
angelico;mono;1;sudest;3; 2022.03.29;5;;na;no;na;na;na;
angelico;mono;1;sudest;4; 2022.03.29;cot1;;na;no;na;na;na;
angelico;mono;1;sudest;4; 2022.03.29;cot2;;na;no;na;na;na;
angelico;mono;1;sudest;4; 2022.03.29;1;;na;no;na;na;na;
angelico;mono;1;sudest;4; 2022.03.29;2;;na;no;na;na;na;
angelico;mono;1;sudest;4; 2022.03.29;3;;na;no;na;na;na;
angelico;mono;1;sudest;4; 2022.03.29;4;;na;no;na;na;na;
angelico;mono;1;sudest;4; 2022.03.29;5;;na;no;na;na;na;
angelico;mono;1;sudest;4; 2022.03.29;6;;na;no;na;na;na;
feliciano;mono;2;sudest;1; 2022.03.29;cot1;;na;no;na;na;na;
feliciano;mono;2;sudest;1; 2022.03.29;cot2;;na;no;na;na;na;
feliciano;mono;2;sudest;1; 2022.03.29;1;;na;no;na;na;na;
feliciano;mono;2;sudest;1; 2022.03.29;2;;na;no;na;na;na;
feliciano;mono;2;sudest;1; 2022.03.29;3;;na;no;na;na;na;
feliciano;mono;2;sudest;1; 2022.03.29;4;;na;no;na;na;na;
feliciano;mono;2;sudest;1; 2022.03.29;5;;na;no;na;na;na;
feliciano;mono;2;sudest;2; 2022.03.29;cot1;;na;no;na;na;na;
feliciano;mono;2;sudest;2; 2022.03.29;cot2;;na;no;na;na;na;
feliciano;mono;2;sudest;2; 2022.03.29;1;;na;no;na;na;na;
feliciano;mono;2;sudest;2; 2022.03.29;2;;na;no;na;na;na;
feliciano;mono;2;sudest;2; 2022.03.29;3;;na;no;na;na;na;
feliciano;mono;2;sudest;2; 2022.03.29;4;;na;no;na;na;na;
feliciano;mono;2;sudest;2; 2022.03.29;5;;na;no;na;na;na;
feliciano;mono;2;sudest;2; 2022.03.29;6;;na;no;na;na;na;
feliciano;mono;2;sudest;3; 2022.03.29;cot1;;na;no;na;na;na;
feliciano;mono;2;sudest;3; 2022.03.29;cot2;;na;no;na;na;na;
feliciano;mono;2;sudest;3; 2022.03.29;1;;na;no;na;na;na;
feliciano;mono;2;sudest;3; 2022.03.29;2;;na;no;na;na;na;
feliciano;mono;2;sudest;3; 2022.03.29;3;;na;no;na;na;na;
feliciano;mono;2;sudest;3; 2022.03.29;4;;na;no;na;na;na;
feliciano;mono;2;sudest;3; 2022.03.29;5;;na;no;na;na;na;
feliciano;mono;2;sudest;3; 2022.03.29;6;;na;no;na;na;na;
feliciano;mono;2;sudest;4; 2022.03.29;cot1;;na;no;na;na;na;
feliciano;mono;2;sudest;4; 2022.03.29;cot2;;na;no;na;na;na;
feliciano;mono;2;sudest;4; 2022.03.29;1;;na;no;na;na;na;
feliciano;mono;2;sudest;4; 2022.03.29;2;;na;no;na;na;na;
feliciano;mono;2;sudest;4; 2022.03.29;3;;na;no;na;na;na;
feliciano;mono;2;sudest;4; 2022.03.29;4;;na;no;na;na;na;
feliciano;mono;2;sudest;4; 2022.03.29;5;;na;no;na;na;na;
feliciano;mono;2;sudest;4; 2022.03.29;6;;na;no;na;na;na;
mambo;mono;2;sudest;1; 2022.03.29;cot1;;na;no;na;na;na;
mambo;mono;2;sudest;1; 2022.03.29;cot2;;na;no;na;na;na;
mambo;mono;2;sudest;1; 2022.03.29;1;;na;no;na;na;na;
mambo;mono;2;sudest;1; 2022.03.29;2;;na;no;na;na;na;
mambo;mono;2;sudest;1; 2022.03.29;3;;na;no;na;na;na;
mambo;mono;2;sudest;1; 2022.03.29;4;;na;no;na;na;na;
mambo;mono;2;sudest;1; 2022.03.29;5;;na;no;na;na;na;
mambo;mono;2;sudest;2; 2022.03.29;cot1;;na;no;na;na;na;
mambo;mono;2;sudest;2; 2022.03.29;cot2;;na;no;na;na;na;
mambo;mono;2;sudest;2; 2022.03.29;1;;na;no;na;na;na;
mambo;mono;2;sudest;2; 2022.03.29;2;;na;no;na;na;na;
mambo;mono;2;sudest;2; 2022.03.29;3;;na;no;na;na;na;
mambo;mono;2;sudest;2; 2022.03.29;4;;na;no;na;na;na;
mambo;mono;2;sudest;2; 2022.03.29;5;;na;no;na;na;na;
mambo;mono;2;sudest;3; 2022.03.29;cot1;;na;no;na;na;na;
mambo;mono;2;sudest;3; 2022.03.29;cot2;;na;no;na;na;na;
mambo;mono;2;sudest;3; 2022.03.29;1;;na;no;na;na;na;
mambo;mono;2;sudest;3; 2022.03.29;2;;na;no;na;na;na;
mambo;mono;2;sudest;3; 2022.03.29;3;;na;no;na;na;na;
mambo;mono;2;sudest;3; 2022.03.29;4;;na;no;na;na;na;
mambo;mono;2;sudest;3; 2022.03.29;5;;na;no;na;na;na;
mambo;mono;2;sudest;4; 2022.03.29;cot1;;na;no;na;na;na;
mambo;mono;2;sudest;4; 2022.03.29;cot2;;na;no;na;na;na;
mambo;mono;2;sudest;4; 2022.03.29;1;;na;no;na;na;na;
mambo;mono;2;sudest;4; 2022.03.29;2;;na;no;na;na;na;
mambo;mono;2;sudest;4; 2022.03.29;3;;na;no;na;na;na;
mambo;mono;2;sudest;4; 2022.03.29;4;;na;no;na;na;na;
mambo;mono;2;sudest;4; 2022.03.29;5;;na;no;na;na;na;
angelico;mono;2;sudest;1; 2022.03.29;cot1;;na;no;na;na;na;
angelico;mono;2;sudest;1; 2022.03.29;cot2;;na;no;na;na;na;
angelico;mono;2;sudest;1; 2022.03.29;1;;na;no;na;na;na;
angelico;mono;2;sudest;1; 2022.03.29;2;;na;no;na;na;na;
angelico;mono;2;sudest;1; 2022.03.29;3;;na;no;na;na;na;
angelico;mono;2;sudest;1; 2022.03.29;4;;na;no;na;na;na;
angelico;mono;2;sudest;1; 2022.03.29;5;;na;no;na;na;na;
angelico;mono;2;sudest;2; 2022.03.29;cot1;;na;no;na;na;na;
angelico;mono;2;sudest;2; 2022.03.29;cot2;;na;no;na;na;na;
angelico;mono;2;sudest;2; 2022.03.29;1;;na;no;na;na;na;
angelico;mono;2;sudest;2; 2022.03.29;2;;na;no;na;na;na;
angelico;mono;2;sudest;2; 2022.03.29;3;;na;no;na;na;na;
angelico;mono;2;sudest;2; 2022.03.29;4;;na;no;na;na;na;
angelico;mono;2;sudest;3; 2022.03.29;cot1;;na;no;na;na;na;
angelico;mono;2;sudest;3; 2022.03.29;cot2;;na;no;na;na;na;
angelico;mono;2;sudest;3; 2022.03.29;1;;na;no;na;na;na;
angelico;mono;2;sudest;3; 2022.03.29;2;;na;no;na;na;na;
angelico;mono;2;sudest;3; 2022.03.29;3;;na;no;na;na;na;
angelico;mono;2;sudest;3; 2022.03.29;4;;na;no;na;na;na;
angelico;mono;2;sudest;4; 2022.03.29;cot1;;na;no;na;na;na;
angelico;mono;2;sudest;4; 2022.03.29;cot2;;na;no;na;na;na;
angelico;mono;2;sudest;4; 2022.03.29;1;;na;no;na;na;na;
angelico;mono;2;sudest;4; 2022.03.29;2;;na;no;na;na;na;
angelico;mono;2;sudest;4; 2022.03.29;3;;na;no;na;na;na;
angelico;mono;2;sudest;4; 2022.03.29;4;;na;no;na;na;na;
angelico;mono;2;sudest;4; 2022.03.29;5;;na;no;na;na;na;
feliciano;mono;3;sudest;1; 2022.03.29;cot1;;na;no;na;na;na;
feliciano;mono;3;sudest;1; 2022.03.29;cot2;;na;no;na;na;na;
feliciano;mono;3;sudest;1; 2022.03.29;1;;na;no;na;na;na;
feliciano;mono;3;sudest;1; 2022.03.29;2;;na;no;na;na;na;
feliciano;mono;3;sudest;1; 2022.03.29;3;;na;no;na;na;na;
feliciano;mono;3;sudest;1; 2022.03.29;4;;na;no;na;na;na;
feliciano;mono;3;sudest;2; 2022.03.29;cot1;;na;no;na;na;na;
feliciano;mono;3;sudest;2; 2022.03.29;cot2;;na;no;na;na;na;
