date;heure;variety;culture;bac;repetition;distance;PAR_140;PAR_down;PAR_percent;canope_colza;canope_feverole
07.06.2022;9:35:09 PM;An;As;5;1;5;94;1.59;1.691489362;sous;
07.06.2022;9:36:57 PM;An;As;5;1;15;65;0.59;0.907692308;sous;
07.06.2022;9:37:36 PM;An;As;5;1;25;67;0.87;1.298507463;sous;
07.06.2022;9:38:14 PM;An;As;5;1;35;71;1.06;1.492957746;sous;
07.06.2022;9:38:57 PM;An;As;5;1;45;76;22.36;29.42105263;sous;
07.06.2022;9:39:45 PM;An;As;5;1;55;99;36.68;37.05050505;sur;
07.06.2022;9:40:22 PM;An;As;5;1;65;73;44.63;61.1369863;sur;
07.06.2022;9:41:04 PM;An;As;5;1;75;80;49.66;62.075;sur;
07.06.2022;9:42:02 PM;An;As;5;1;85;68;51.18;75.26470588;sur;
07.06.2022;9:42:36 PM;An;As;5;1;95;67;54.92;81.97014925;sur;
07.06.2022;9:43:07 PM;An;As;5;1;105;87;59.24;68.09195402;sur;
07.06.2022;9:43:41 PM;An;As;5;1;115;61;57.56;94.36065574;sur;
07.06.2022;9:44:13 PM;An;As;5;1;125;95;75.25;79.21052632;sur;
07.06.2022;9:45:18 PM;An;As;5;1;140;65;74.94;115.2923077;sur;
07.06.2022;9:52:01 PM;An;As;5;2;5;77.36;0.52;0.672182006;sous;
07.06.2022;9:52:41 PM;An;As;5;2;15;76.55;0.3;0.391900718;sous;
07.06.2022;9:53:21 PM;An;As;5;2;25;82.23;0.56;0.681016661;sous;
07.06.2022;9:54:01 PM;An;As;5;2;35;76.27;0.77;1.00957126;sous;
07.06.2022;9:54:51 PM;An;As;5;2;45;90.07;9.76;10.83601643;sous;
07.06.2022;9:55:32 PM;An;As;5;2;55;78.98;14.63;18.52367688;sous;
07.06.2022;9:56:01 PM;An;As;5;2;65;57.88;35.86;61.95577056;sur;
07.06.2022;9:57:12 PM;An;As;5;2;75;69.24;46.51;67.17215482;sur;
07.06.2022;9:58:21 PM;An;As;5;2;85;57.88;59.83;103.3690394;sur;
07.06.2022;9:59:02 PM;An;As;5;2;95;87.63;64.38;73.46799041;sur;
07.06.2022;9:59:32 PM;An;As;5;2;105;80.6;65.59;81.37717122;sur;
07.06.2022;10:00:02 PM;An;As;5;2;115;69.78;67.07;96.11636572;sur;
07.06.2022;10:02:01 PM;An;As;5;2;125;60.59;69.79;115.1840238;sur;
07.06.2022;10:02:46 PM;An;As;5;2;140;90.88;81.42;89.59066901;sur;
07.06.2022;10:10:51 PM;An;Mo;4;1;5;48.96;0.24;0.490196078;sous;
07.06.2022;10:12:20 PM;An;Mo;4;1;15;68.44;0.21;0.306838106;sous;
07.06.2022;10:13:20 PM;An;Mo;4;1;25;61.68;0.57;0.924124514;sous;
07.06.2022;10:14:20 PM;An;Mo;4;1;35;71.68;1.04;1.450892857;sous;
07.06.2022;10:15:00 PM;An;Mo;4;1;45;51.67;11.16;21.59860654;sous;
07.06.2022;10:15:40 PM;An;Mo;4;1;55;47.07;3.63;7.711918419;sous;
07.06.2022;10:16:11 PM;An;Mo;4;1;65;48.42;15.11;31.20611318;sur;
07.06.2022;10:16:42 PM;An;Mo;4;1;75;69.25;50.03;72.24548736;sur;
07.06.2022;10:17:01 PM;An;Mo;4;1;85;71.14;53.38;75.03514197;sur;
07.06.2022;10:17:31 PM;An;Mo;4;1;95;50.04;55.23;110.3717026;sur;
07.06.2022;10:17:51 PM;An;Mo;4;1;105;70.33;56.51;80.34977961;sur;
07.06.2022;10:19:02 PM;An;Mo;4;1;115;70.33;47.7;67.82311958;sur;
07.06.2022;10:19:40 PM;An;Mo;4;1;125;45.44;49.28;108.4507042;sur;
07.06.2022;10:20:03 PM;An;Mo;4;1;140;54.37;56.99;104.8188339;sur;
07.06.2022;10:24:50 PM;An;Mo;4;2;5;57.62;0.27;0.468587296;sous;
07.06.2022;10:26:00 PM;An;Mo;4;2;15;67.63;0.19;0.280940411;sous;
