"","date","hour","sonde","value","variety","culture","bac","modality"
"1",2022-03-22,1899-12-31 16:30:00,"T_1",-3.63975,"Ma","As","4","Ma_As_4"
"2",2022-03-22,1899-12-31 16:45:00,"T_1",19.983512,"Ma","As","4","Ma_As_4"
"3",2022-03-22,1899-12-31 17:00:00,"T_1",20.440384,"Ma","As","4","Ma_As_4"
"4",2022-03-22,1899-12-31 17:15:00,"T_1",20.91712,"Ma","As","4","Ma_As_4"
"5",2022-03-22,1899-12-31 17:30:00,"T_1",21.453448,"Ma","As","4","Ma_As_4"
"6",2022-03-22,1899-12-31 17:45:00,"T_1",20.231812,"Ma","As","4","Ma_As_4"
"7",2022-03-22,1899-12-31 18:00:00,"T_1",20.728412,"Ma","As","4","Ma_As_4"
"8",2022-03-22,1899-12-31 18:15:00,"T_1",21.294536,"Ma","As","4","Ma_As_4"
"9",2022-03-22,1899-12-31 18:30:00,"T_1",20.857528,"Ma","As","4","Ma_As_4"
"10",2022-03-22,1899-12-31 18:45:00,"T_1",20.629092,"Ma","As","4","Ma_As_4"
"11",2022-03-22,1899-12-31 19:00:00,"T_1",20.539704,"Ma","As","4","Ma_As_4"
"12",2022-03-22,1899-12-31 19:15:00,"T_1",20.380792,"Ma","As","4","Ma_As_4"
"13",2022-03-22,1899-12-31 19:30:00,"T_1",20.12256,"Ma","As","4","Ma_As_4"
"14",2022-03-22,1899-12-31 19:45:00,"T_1",19.864328,"Ma","As","4","Ma_As_4"
"15",2022-03-22,1899-12-31 20:00:00,"T_1",19.695484,"Ma","As","4","Ma_As_4"
"16",2022-03-22,1899-12-31 20:15:00,"T_1",19.556436,"Ma","As","4","Ma_As_4"
"17",2022-03-22,1899-12-31 20:30:00,"T_1",19.447184,"Ma","As","4","Ma_As_4"
"18",2022-03-22,1899-12-31 20:45:00,"T_1",19.328,"Ma","As","4","Ma_As_4"
"19",2022-03-22,1899-12-31 21:00:00,"T_1",19.208816,"Ma","As","4","Ma_As_4"
"20",2022-03-22,1899-12-31 21:15:00,"T_1",19.119428,"Ma","As","4","Ma_As_4"
"21",2022-03-22,1899-12-31 21:30:00,"T_1",19.049904,"Ma","As","4","Ma_As_4"
"22",2022-03-22,1899-12-31 21:45:00,"T_1",18.970448,"Ma","As","4","Ma_As_4"
"23",2022-03-22,1899-12-31 22:00:00,"T_1",18.910856,"Ma","As","4","Ma_As_4"
"24",2022-03-22,1899-12-31 22:15:00,"T_1",18.821468,"Ma","As","4","Ma_As_4"
"25",2022-03-22,1899-12-31 22:30:00,"T_1",18.761876,"Ma","As","4","Ma_As_4"
"26",2022-03-22,1899-12-31 22:45:00,"T_1",18.692352,"Ma","As","4","Ma_As_4"
"27",2022-03-22,1899-12-31 23:00:00,"T_1",18.652624,"Ma","As","4","Ma_As_4"
"28",2022-03-22,1899-12-31 23:15:00,"T_1",18.5831,"Ma","As","4","Ma_As_4"
"29",2022-03-22,1899-12-31 23:30:00,"T_1",18.513576,"Ma","As","4","Ma_As_4"
"30",2022-03-22,1899-12-31 23:45:00,"T_1",18.404324,"Ma","As","4","Ma_As_4"
"31",2022-03-23,1899-12-31,"T_1",18.364596,"Ma","As","4","Ma_As_4"
"32",2022-03-23,1899-12-31 00:15:00,"T_1",18.305004,"Ma","As","4","Ma_As_4"
"33",2022-03-23,1899-12-31 00:30:00,"T_1",18.255344,"Ma","As","4","Ma_As_4"
"34",2022-03-23,1899-12-31 00:45:00,"T_1",18.165956,"Ma","As","4","Ma_As_4"
"35",2022-03-23,1899-12-31 01:00:00,"T_1",18.13616,"Ma","As","4","Ma_As_4"
"36",2022-03-23,1899-12-31 01:15:00,"T_1",18.0865,"Ma","As","4","Ma_As_4"
"37",2022-03-23,1899-12-31 01:30:00,"T_1",18.056704,"Ma","As","4","Ma_As_4"
"38",2022-03-23,1899-12-31 01:45:00,"T_1",17.947452,"Ma","As","4","Ma_As_4"
"39",2022-03-23,1899-12-31 02:00:00,"T_1",17.917656,"Ma","As","4","Ma_As_4"
"40",2022-03-23,1899-12-31 02:15:00,"T_1",17.848132,"Ma","As","4","Ma_As_4"
"41",2022-03-23,1899-12-31 02:30:00,"T_1",17.758744,"Ma","As","4","Ma_As_4"
"42",2022-03-23,1899-12-31 02:45:00,"T_1",17.679288,"Ma","As","4","Ma_As_4"
"43",2022-03-23,1899-12-31 03:00:00,"T_1",17.649492,"Ma","As","4","Ma_As_4"
"44",2022-03-23,1899-12-31 03:15:00,"T_1",17.570036,"Ma","As","4","Ma_As_4"
"45",2022-03-23,1899-12-31 03:30:00,"T_1",17.520376,"Ma","As","4","Ma_As_4"
"46",2022-03-23,1899-12-31 03:45:00,"T_1",17.510444,"Ma","As","4","Ma_As_4"
"47",2022-03-23,1899-12-31 04:00:00,"T_1",17.421056,"Ma","As","4","Ma_As_4"
"48",2022-03-23,1899-12-31 04:15:00,"T_1",17.351532,"Ma","As","4","Ma_As_4"
"49",2022-03-23,1899-12-31 04:30:00,"T_1",17.331668,"Ma","As","4","Ma_As_4"
"50",2022-03-23,1899-12-31 04:45:00,"T_1",17.272076,"Ma","As","4","Ma_As_4"
"51",2022-03-23,1899-12-31 05:00:00,"T_1",17.232348,"Ma","As","4","Ma_As_4"
"52",2022-03-23,1899-12-31 05:15:00,"T_1",17.172756,"Ma","As","4","Ma_As_4"
"53",2022-03-23,1899-12-31 05:30:00,"T_1",17.103232,"Ma","As","4","Ma_As_4"
"54",2022-03-23,1899-12-31 05:45:00,"T_1",17.053572,"Ma","As","4","Ma_As_4"
"55",2022-03-23,1899-12-31 06:00:00,"T_1",16.99398,"Ma","As","4","Ma_As_4"
"56",2022-03-23,1899-12-31 06:15:00,"T_1",16.924456,"Ma","As","4","Ma_As_4"
"57",2022-03-23,1899-12-31 06:30:00,"T_1",16.874796,"Ma","As","4","Ma_As_4"
"58",2022-03-23,1899-12-31 06:45:00,"T_1",16.835068,"Ma","As","4","Ma_As_4"
"59",2022-03-23,1899-12-31 07:00:00,"T_1",16.835068,"Ma","As","4","Ma_As_4"
"60",2022-03-23,1899-12-31 07:15:00,"T_1",16.79534,"Ma","As","4","Ma_As_4"
"61",2022-03-23,1899-12-31 07:30:00,"T_1",16.765544,"Ma","As","4","Ma_As_4"
"62",2022-03-23,1899-12-31 07:45:00,"T_1",16.954252,"Ma","As","4","Ma_As_4"
"63",2022-03-23,1899-12-31 08:00:00,"T_1",17.311804,"Ma","As","4","Ma_As_4"
"64",2022-03-23,1899-12-31 08:15:00,"T_1",17.68922,"Ma","As","4","Ma_As_4"
"65",2022-03-23,1899-12-31 08:30:00,"T_1",18.394392,"Ma","As","4","Ma_As_4"
"66",2052-01-01,1899-12-31,"T_1",21.433584,"Ma","As","4","Ma_As_4"
"67",2052-01-01,1899-12-31 00:15:00,"T_1",18.245412,"Ma","As","4","Ma_As_4"
"68",2052-01-01,1899-12-31 00:30:00,"T_1",15.65316,"Ma","As","4","Ma_As_4"
"69",2052-01-01,1899-12-31 00:45:00,"T_1",15.524044,"Ma","As","4","Ma_As_4"
"70",2052-01-01,1899-12-31 01:00:00,"T_1",15.822004,"Ma","As","4","Ma_As_4"
"71",2052-01-01,1899-12-31 01:15:00,"T_1",16.05044,"Ma","As","4","Ma_As_4"
"72",2052-01-01,1899-12-31 01:30:00,"T_1",16.030576,"Ma","As","4","Ma_As_4"
"73",2052-01-01,1899-12-31 01:45:00,"T_1",16.209352,"Ma","As","4","Ma_As_4"
"74",2052-01-01,1899-12-31 02:00:00,"T_1",16.507312,"Ma","As","4","Ma_As_4"
"75",2052-01-01,1899-12-31 02:15:00,"T_1",16.69602,"Ma","As","4","Ma_As_4"
"76",2052-01-01,1899-12-31 02:30:00,"T_1",16.705952,"Ma","As","4","Ma_As_4"
"77",2052-01-01,1899-12-31 02:45:00,"T_1",16.854932,"Ma","As","4","Ma_As_4"
