date;experiment_type;Sampling_campain;variety;culture;bloc;sample_type;Sample ID;Glucoraphanin;Progoitrin isomer;Glucoalyssin;Gluconapoleiferin;Gluconapin;Butyl-GS;Glucobrassicanapin;Glucobrassicin;Gluconasturtiin;Methoxyglucobrassicin;Neoglucobrassicin;Unknown GLS (C16H20N2O11S2);total 
05.04.2022;glasshouse;GH_BF;Ma;Mo;2;feuille;230109_IH_GLS_sample_1-1;3.985102421;56.01489758;58.54748603;8.081936685;52.2160149;7.001862197;141.7132216;144.8789572;26.85288641;8.34264432;3.612662942;25.69832402;536.9459963
05.04.2022;glasshouse;GH_BF;Ma;Mo;2;feuille;230109_IH_GLS_sample_1-2;7.252124646;37.47875354;56.77053824;4.92917847;40.59490085;5.099150142;77.45042493;55.26912181;22.35127479;4.900849858;2.606232295;25.32577904;340.0283286
05.04.2022;glasshouse;GH_BF;Fe;Mo;1;feuille;230109_IH_GLS_sample_1-3;1.931818182;23.32386364;7.585227273;3.465909091;13.26704545;1.761363636;36.96022727;39.91477273;20.65340909;4.6875;2.727272727;12.15909091;168.4375
05.04.2022;glasshouse;GH_BF;Fe;Mo;1;feuille;230109_IH_GLS_sample_1-4;3.954154728;0;46.41833811;5.358166189;40.20057307;4.040114613;85.70200573;68.59598854;20.63037249;4.240687679;1.891117479;23.26647564;304.2979943
05.04.2022;glasshouse;GH_BF;An;Mo;2;feuille;230109_IH_GLS_sample_1-5;4.449760766;29.784689;24.42583732;2.703349282;25.31100478;1.578947368;36.02870813;45.64593301;21.81818182;6.076555024;1.459330144;27.1291866;226.4114833
05.04.2022;glasshouse;GH_BF;An;Mo;2;feuille;230109_IH_GLS_sample_1-6;4.525043178;22.83246978;21.31260794;2.210708117;18.72193437;1.692573402;25.28497409;76.02763385;30.53540587;9.291882556;2.487046632;29.98272884;244.9050086
05.04.2022;glasshouse;GH_BF;Ma;Mo;1;feuille;230109_IH_GLS_sample_1-7;11.55482815;30.5400982;29.91816694;3.633387889;28.3797054;2.520458265;40.91653028;52.92962357;38.19967267;6.153846154;1.70212766;22.1603928;268.608838
05.04.2022;glasshouse;GH_BF;Ma;Mo;1;feuille;230109_IH_GLS_sample_1-8;4.754098361;34.83606557;38.27868852;3.975409836;34.3852459;4.836065574;55.40983607;62.00819672;20.98360656;5.491803279;2.5;27.62295082;295.0819672
05.04.2022;glasshouse;GH_BF;Fe;Mo;3;feuille;230109_IH_GLS_sample_1-9;2.608695652;37.92960663;13.16770186;4.554865424;23.1884058;3.395445135;64.72049689;65.79710145;22.65010352;6.790890269;3.64389234;19.08902692;267.5362319
05.04.2022;glasshouse;GH_BF;Fe;Mo;3;feuille;230109_IH_GLS_sample_1-10;6.446776612;32.8035982;21.91904048;4.677661169;22.18890555;2.308845577;46.14692654;58.95052474;28.51574213;7.016491754;3.5982009;18.89055472;253.4632684
